# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.5;38.7;48.8;20681;151254
0.0;29.1;48.8;20686;151319
0.0;37.7;48.9;20688;151335
0.0;42.5;49.3;20689;151338
0.0;13.4;49.3;20689;151338
0.0;9.4;49.3;20689;151338
0.0;8.6;49.3;20691;151341
0.0;15.3;49.4;20691;151342
0.0;18.0;49.4;20691;151342
0.0;7.4;49.4;20691;151342
0.0;31.0;49.4;20692;151342
0.0;28.1;49.4;20692;151342
0.0;21.2;49.4;20692;151342
0.0;10.1;49.4;20692;151342
0.0;21.3;49.4;20692;151343
0.0;11.8;49.4;20695;151343
0.0;15.0;49.4;20695;151343
0.0;8.0;49.4;20695;151343
0.0;11.7;49.4;20695;151343
0.0;20.4;49.4;20695;151343
0.0;14.8;49.4;20695;151343
0.0;11.5;49.4;20695;151343
0.0;8.5;49.4;20695;151343
0.0;8.0;49.4;20695;151343
0.0;6.0;49.4;20695;151343
0.0;5.5;49.4;20695;151343
0.0;11.6;49.4;20695;151343
0.0;25.6;49.5;20695;151343
0.0;27.6;49.5;20695;151343
0.0;7.4;49.4;20695;151343
0.0;11.0;49.4;20695;151343
0.0;6.0;49.4;20695;151343
0.0;6.5;49.4;20695;151343
0.0;10.1;49.2;20695;151343
0.0;11.5;49.1;20695;151343
0.0;14.9;49.1;20695;151343
0.0;6.1;49.1;20695;151343
0.0;6.1;49.1;20695;151343
0.0;9.6;49.1;20695;151343
0.0;6.4;49.1;20695;151343
0.0;5.5;49.1;20695;151343
0.0;4.5;49.1;20695;151343
0.0;5.5;49.1;20695;151343
0.0;4.5;49.1;20695;151343
0.0;6.0;49.1;20695;151343
0.0;5.0;49.1;20695;151343
0.0;6.0;49.1;20695;151343
0.0;5.6;49.1;20695;151343
0.0;6.4;49.1;20695;151343
0.0;8.0;49.1;20695;151343
0.0;9.5;49.1;20695;151343
0.0;11.6;49.1;20695;151343
0.0;13.2;48.1;20695;151343
0.0;14.4;48.1;20695;151343
0.0;8.8;48.1;20695;151343
0.0;5.5;48.1;20695;151343
0.0;6.5;48.1;20695;151343
0.0;5.1;48.1;20695;151343
0.0;6.0;48.1;20695;151343
0.0;6.0;48.1;20695;151343
0.0;6.5;48.1;20695;151343
0.0;9.0;48.1;20695;151343
0.0;8.0;48.1;20695;151343
0.0;5.5;48.1;20695;151343
0.0;6.5;48.1;20695;151343
0.0;5.9;48.1;20695;151343
0.0;6.0;48.1;20695;151343
0.0;4.5;48.1;20695;151343
0.0;5.5;48.1;20695;151343
0.0;6.4;48.1;20695;151343
0.0;5.0;48.1;20695;151343
0.0;6.4;48.1;20695;151343
0.0;4.5;48.1;20695;151343
0.0;10.9;48.1;20695;151343
0.0;7.5;48.1;20695;151343
0.0;5.0;48.1;20695;151343
0.0;6.5;48.1;20695;151343
0.0;5.5;48.1;20695;151343
0.0;5.9;48.1;20695;151343
0.0;5.5;48.1;20695;151343
0.0;7.4;48.1;20695;151343
0.0;4.5;48.1;20695;151343
0.0;6.0;48.1;20695;151343
0.0;5.0;48.1;20695;151343
0.0;6.0;48.1;20697;151348
0.0;12.4;48.1;20698;151348
0.0;7.4;48.1;20698;151348
0.0;5.1;48.1;20698;151348
0.0;6.5;48.1;20698;151348
0.0;5.5;48.1;20698;151348
0.0;6.0;48.1;20698;151348
0.0;5.5;48.1;20698;151348
0.0;5.5;48.1;20698;151349
0.0;4.5;48.1;20698;151349
0.0;6.0;48.1;20698;151349
0.0;5.5;48.1;20698;151349
0.0;6.5;48.1;20698;151349
0.0;4.0;48.1;20699;151349
0.0;6.0;48.1;20699;151349
0.0;4.0;48.1;20699;151349
