# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;34.4;47.5;20736;151505
0.0;44.6;47.9;20737;151506
0.0;53.0;48.2;20738;151511
0.0;32.1;48.2;20739;151511
0.0;10.0;48.1;20772;151529
0.0;6.0;48.1;20772;151531
0.0;7.0;48.1;20774;151534
0.0;6.0;48.1;20775;151535
0.0;4.5;48.1;20775;151535
0.0;4.5;48.1;20775;151535
0.0;4.5;48.1;20775;151535
0.0;5.0;48.1;20775;151536
0.0;6.4;48.0;20775;151536
0.0;5.4;48.0;20775;151536
0.0;6.0;48.0;20775;151536
0.0;5.5;48.0;20775;151536
0.0;6.0;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;6.0;48.0;20775;151536
0.0;12.4;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;4.5;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;5.9;48.0;20775;151536
0.0;4.5;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;4.0;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;5.9;48.0;20775;151536
0.0;5.5;48.0;20775;151536
0.0;4.0;48.0;20775;151536
0.0;5.9;48.0;20775;151536
0.0;9.5;48.0;20775;151536
0.0;6.0;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;7.0;48.0;20775;151536
0.0;4.5;48.0;20775;151536
0.0;5.0;48.0;20775;151536
0.0;4.5;47.7;20775;151536
0.0;5.5;47.7;20775;151536
0.0;5.0;47.7;20775;151536
0.0;4.5;47.7;20775;151536
0.0;5.9;47.7;20775;151536
0.0;11.8;47.7;20775;151536
0.0;6.4;47.7;20775;151536
0.0;5.9;47.7;20775;151536
0.0;4.5;47.7;20775;151536
0.0;8.9;47.7;20775;151536
0.0;7.5;47.7;20775;151536
0.0;5.0;47.7;20775;151536
0.0;5.0;47.7;20775;151536
0.0;4.0;47.7;20775;151536
0.0;5.5;47.7;20775;151536
0.0;5.0;47.7;20775;151536
0.0;5.5;47.7;20775;151536
0.0;11.4;47.7;20775;151536
0.0;5.5;47.7;20775;151536
0.0;5.0;47.6;20775;151536
0.0;4.5;47.6;20775;151536
0.0;4.5;47.6;20775;151536
0.0;5.0;47.7;20775;151536
0.0;5.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;3.0;47.6;20775;151536
0.0;5.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;4.5;47.7;20775;151536
0.0;11.4;47.7;20775;151536
0.0;5.0;47.7;20775;151536
0.0;5.4;47.7;20775;151536
0.0;5.5;47.7;20775;151536
0.0;3.5;47.6;20775;151536
0.0;4.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;4.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;3.6;47.6;20775;151536
0.0;5.9;47.6;20775;151536
0.0;11.0;47.6;20775;151536
0.0;4.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;5.5;47.6;20775;151536
0.0;5.0;47.6;20775;151536
0.0;4.0;47.6;20775;151536
0.0;6.4;47.6;20775;151536
0.0;5.0;47.6;20776;151537
0.0;5.9;47.6;20776;151537
0.0;3.6;47.6;20776;151537
0.0;5.0;47.6;20776;151537
0.0;11.9;47.6;20776;151537
0.0;6.4;47.6;20776;151537
0.0;4.5;47.6;20776;151537
0.0;5.9;47.6;20776;151537
0.0;5.0;47.6;20776;151537
0.0;4.5;47.6;20776;151537
0.0;5.0;47.6;20776;151537
0.0;5.5;47.6;20776;151537
