# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;32.8;47.7;20713;151431
0.0;7.5;47.6;20713;151431
0.0;7.0;47.6;20714;151431
0.0;5.0;47.6;20714;151432
0.0;6.6;47.6;20714;151432
0.0;6.0;47.6;20714;151432
0.0;9.4;47.6;20714;151432
0.0;5.5;47.6;20714;151432
0.0;7.0;47.6;20714;151432
0.0;4.5;47.6;20714;151433
0.0;7.0;47.6;20714;151433
0.0;20.2;47.7;20714;151433
0.0;6.0;47.7;20714;151433
0.0;5.1;47.7;20714;151434
0.0;7.0;47.7;20714;151434
0.0;6.5;47.7;20714;151434
0.0;7.0;47.7;20714;151434
0.0;6.5;47.7;20714;151434
0.0;7.1;47.7;20714;151434
0.0;6.5;47.7;20714;151434
0.0;6.0;47.7;20714;151434
0.0;6.0;47.7;20714;151434
0.0;6.5;47.6;20714;151434
0.0;17.4;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;6.5;47.6;20714;151434
0.0;7.5;47.6;20714;151434
0.0;8.0;47.6;20714;151434
0.0;6.5;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;6.5;47.6;20714;151434
0.0;4.6;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;5.5;47.6;20714;151434
0.0;5.5;47.6;20714;151434
0.0;14.1;47.6;20714;151434
0.0;6.0;47.6;20714;151434
0.0;6.9;47.6;20714;151434
0.0;6.0;47.6;20714;151434
0.0;11.1;47.6;20714;151434
0.0;5.5;47.6;20714;151434
0.0;6.0;47.6;20714;151434
0.0;6.5;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;6.9;47.6;20714;151434
0.0;10.9;47.6;20714;151434
0.0;5.0;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;7.5;47.6;20714;151434
0.0;6.9;47.6;20714;151434
0.0;7.4;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;5.5;47.6;20714;151434
0.0;7.0;47.6;20714;151434
0.0;7.9;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;7.4;47.6;20715;151434
0.0;7.5;47.6;20715;151434
0.0;6.0;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;7.4;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;5.5;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;7.4;47.6;20715;151434
0.0;6.0;47.6;20715;151434
0.0;6.0;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;6.0;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;5.5;47.6;20715;151434
0.0;6.4;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;6.9;47.6;20715;151434
0.0;7.8;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;4.5;47.6;20715;151434
0.0;7.4;47.6;20715;151434
0.0;5.5;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;12.6;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;4.5;47.6;20715;151434
0.0;7.0;47.6;20715;151434
0.0;5.1;47.6;20715;151434
0.0;7.4;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;5.0;47.6;20715;151434
0.0;5.6;47.6;20715;151434
0.0;5.1;47.6;20715;151434
0.0;6.5;47.6;20715;151434
0.0;6.0;47.6;20715;151434
