# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;40.8;46.7;20850;151706
0.0;33.5;46.9;20851;151708
0.0;49.0;47.2;20851;151708
0.0;58.4;47.9;20851;151708
0.0;45.8;48.1;20851;151708
0.0;30.2;47.9;20851;151708
0.0;7.0;47.8;20851;151708
0.0;8.0;47.8;20851;151708
0.0;13.8;47.8;20851;151708
0.0;31.3;47.9;20851;151708
0.0;20.9;47.9;20852;151708
0.0;14.2;47.8;20852;151708
0.0;8.4;47.8;20852;151708
0.0;26.1;47.8;20852;151709
0.0;26.6;47.8;20852;151709
0.0;27.6;47.8;20852;151709
0.0;7.7;47.8;20852;151709
0.0;46.3;47.8;20852;151709
0.0;7.5;47.8;20852;151709
0.0;7.1;47.8;20852;151709
0.0;7.0;47.8;20852;151709
0.0;7.0;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;6.6;47.8;20852;151709
0.0;9.3;47.8;20852;151709
0.0;7.5;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;8.4;47.8;20852;151709
0.0;8.5;47.8;20852;151709
0.0;7.5;47.8;20852;151709
0.0;8.4;47.8;20852;151709
0.0;6.6;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;8.8;47.8;20852;151709
0.0;9.5;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;8.5;47.8;20852;151709
0.0;8.5;47.8;20852;151709
0.0;8.9;47.8;20852;151709
0.0;8.4;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;10.9;47.8;20852;151709
0.0;8.0;47.8;20852;151709
0.0;7.5;47.8;20852;151709
0.0;20.9;47.9;20853;151713
0.0;23.5;47.9;20854;151714
0.0;14.6;47.8;20854;151714
0.0;21.8;47.9;20854;151714
0.0;14.1;47.9;20854;151714
0.0;7.1;47.8;20854;151714
0.0;7.5;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;7.5;47.8;20854;151714
0.0;6.5;47.8;20854;151714
0.0;8.9;47.8;20854;151714
0.0;8.0;47.8;20854;151714
0.0;10.3;47.8;20854;151714
0.0;7.5;47.8;20854;151714
0.0;8.4;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;11.6;47.8;20854;151714
0.0;8.4;47.8;20854;151714
0.0;8.0;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;9.4;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;8.4;47.8;20854;151714
0.0;6.6;47.8;20854;151714
0.0;8.4;47.8;20854;151714
0.0;14.5;47.8;20854;151714
0.0;14.9;47.8;20854;151714
0.0;8.5;47.8;20854;151714
0.0;13.0;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;7.0;47.8;20854;151714
0.0;8.0;47.8;20854;151714
0.0;14.4;47.8;20854;151714
0.0;6.5;47.7;20854;151714
0.0;8.5;47.7;20855;151718
0.0;6.5;47.7;20856;151718
0.0;7.0;47.7;20856;151718
0.0;6.5;47.7;20856;151718
0.0;7.9;47.7;20856;151718
0.0;10.4;47.7;20856;151718
0.0;11.5;47.7;20856;151718
0.0;6.6;47.7;20856;151718
0.0;8.9;47.7;20856;151718
0.0;14.3;47.8;20857;151718
0.0;15.0;47.9;20857;151719
0.0;23.6;48.0;20857;151719
0.0;41.5;48.2;20857;151719
0.0;33.3;48.2;20857;151719
0.0;6.7;48.1;20857;151719
0.0;12.3;47.9;20857;151719
0.0;14.6;48.0;20857;151719
0.0;37.6;48.1;20857;151719
0.0;21.6;48.1;20857;151719
0.0;9.4;48.1;20857;151719
0.0;18.8;48.1;20857;151719
