# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;36.8;48.0;20789;151614
0.0;31.1;48.4;20798;151623
0.0;7.0;48.4;20800;151625
0.0;5.5;48.4;20800;151625
0.0;5.0;48.4;20800;151625
0.0;4.5;48.4;20800;151625
0.0;6.0;48.4;20802;151628
0.0;6.0;48.4;20802;151630
0.0;5.0;48.4;20802;151630
0.0;5.5;48.4;20802;151630
0.0;11.1;48.4;20802;151630
0.0;6.0;48.4;20802;151630
0.0;4.5;48.4;20803;151630
0.0;5.5;48.4;20803;151630
0.0;5.0;48.4;20803;151630
0.0;5.0;48.4;20803;151630
0.0;5.9;48.4;20803;151630
0.0;5.0;48.4;20803;151630
0.0;11.1;48.4;20803;151630
0.0;4.5;48.4;20803;151630
0.0;3.6;48.4;20803;151630
0.0;4.6;48.4;20803;151631
0.0;5.9;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;4.1;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;11.0;48.4;20803;151631
0.0;3.6;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.9;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;6.0;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;15.6;48.4;20803;151631
0.0;5.9;48.4;20803;151631
0.0;3.5;48.4;20803;151631
0.0;6.4;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;4.1;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;4.0;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;5.0;48.3;20803;151631
0.0;11.4;48.3;20803;151631
0.0;5.5;48.3;20803;151631
0.0;4.0;48.3;20803;151631
0.0;5.0;48.3;20803;151631
0.0;4.0;48.3;20803;151631
0.0;6.4;48.3;20803;151631
0.0;4.5;48.3;20803;151631
0.0;4.5;48.3;20803;151631
0.0;13.2;48.3;20803;151631
0.0;5.5;48.3;20803;151631
0.0;5.0;48.3;20803;151631
0.0;4.0;48.3;20803;151631
0.0;5.4;48.3;20803;151631
0.0;5.9;48.3;20803;151631
0.0;5.9;48.3;20803;151631
0.0;5.0;48.3;20803;151631
0.0;4.5;48.3;20803;151631
0.0;4.5;48.3;20803;151631
0.0;4.0;48.3;20803;151631
0.0;4.0;48.3;20803;151631
0.0;22.1;48.4;20803;151631
0.0;26.2;48.4;20803;151631
0.0;10.0;48.4;20803;151631
0.0;8.0;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.5;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;4.5;48.4;20803;151631
0.0;5.9;48.4;20803;151631
0.0;3.5;48.4;20803;151631
0.0;6.0;48.3;20803;151631
0.0;10.5;48.3;20803;151631
0.0;5.5;48.3;20803;151631
0.0;4.5;48.3;20803;151631
0.0;4.5;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;6.0;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;5.0;48.4;20803;151631
0.0;5.4;48.4;20803;151631
0.0;4.5;48.4;20803;151631
