# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;37.4;47.6;20818;151665
0.0;31.8;47.7;20820;151670
0.0;12.4;47.7;20822;151671
0.0;11.6;47.7;20831;151676
0.0;8.0;47.7;20831;151676
0.0;5.0;47.7;20831;151676
0.0;5.0;47.6;20831;151676
0.0;5.5;47.6;20831;151676
0.0;4.0;47.6;20831;151676
0.0;7.5;47.6;20831;151676
0.0;26.6;47.7;20831;151676
0.0;25.9;47.7;20831;151676
0.0;19.3;47.6;20831;151676
0.0;8.5;47.7;20831;151677
0.0;6.0;47.7;20831;151677
0.0;11.4;47.7;20831;151677
0.0;6.1;47.7;20831;151677
0.0;6.9;47.7;20831;151677
0.0;4.5;47.7;20831;151677
0.0;8.0;47.7;20831;151677
0.0;25.6;47.7;20831;151677
0.0;22.7;47.7;20831;151677
0.0;25.0;47.7;20833;151677
0.0;6.5;47.7;20833;151678
0.0;5.5;47.7;20833;151678
0.0;7.8;47.7;20833;151678
0.0;4.0;47.7;20833;151678
0.0;12.0;47.7;20833;151678
0.0;4.5;47.7;20833;151678
0.0;11.7;47.7;20833;151678
0.0;19.6;47.7;20833;151678
0.0;22.9;47.7;20833;151678
0.0;20.1;47.7;20833;151678
0.0;6.5;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;7.5;47.7;20833;151678
0.0;4.0;47.7;20833;151678
0.0;4.6;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;15.9;47.7;20833;151678
0.0;19.5;47.7;20833;151678
0.0;23.4;47.7;20833;151678
0.0;22.9;47.7;20833;151678
0.0;6.5;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;4.5;47.7;20833;151678
0.0;6.0;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;10.0;47.7;20833;151678
0.0;23.0;47.7;20833;151678
0.0;32.2;47.7;20833;151678
0.0;21.8;47.7;20833;151678
0.0;6.9;47.7;20833;151678
0.0;6.0;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;4.5;47.7;20833;151678
0.0;6.0;47.7;20833;151678
0.0;4.0;47.7;20833;151678
0.0;10.2;47.7;20833;151678
0.0;20.4;47.7;20833;151678
0.0;23.4;47.7;20833;151678
0.0;19.1;47.7;20833;151678
0.0;11.6;47.7;20833;151678
0.0;6.4;47.7;20833;151678
0.0;7.4;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;12.9;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;11.5;47.7;20833;151678
0.0;20.4;47.7;20833;151678
0.0;26.0;47.7;20833;151678
0.0;19.1;47.7;20833;151678
0.0;7.0;47.7;20833;151678
0.0;4.5;47.7;20833;151678
0.0;12.0;47.7;20833;151678
0.0;3.6;47.7;20833;151678
0.0;5.0;47.7;20833;151678
0.0;5.4;47.7;20833;151678
0.0;18.5;47.7;20833;151678
0.0;36.4;47.7;20833;151678
0.0;43.7;47.8;20833;151678
0.0;22.4;47.9;20833;151678
0.0;14.1;47.7;20833;151678
0.0;10.8;47.7;20833;151678
0.0;11.4;47.7;20833;151678
0.0;8.8;47.7;20833;151678
0.0;30.0;47.7;20833;151678
0.0;21.9;47.7;20833;151678
0.0;18.7;47.7;20833;151678
0.0;24.6;47.7;20833;151678
0.0;34.7;47.7;20833;151678
0.0;24.4;47.7;20833;151678
0.0;35.5;47.8;20833;151678
0.0;24.8;47.8;20833;151678
0.0;51.7;47.9;20833;151678
0.0;13.6;47.9;20833;151678
0.0;33.3;47.8;20833;151678
0.0;29.6;47.8;20833;151678
0.0;28.7;47.9;20833;151678
