# cpu usada por el proceso;total cpu usada en el sistema;RAM usada en el sistema;kilobytes enviados; kilobytes recibidos
0.0;56.5;51.2;20630;151122
35.9;63.7;51.3;20634;151132
33.9;58.9;51.5;20642;151170
17.9;60.4;51.9;20642;151170
14.0;52.5;52.2;20646;151178
37.9;54.5;52.2;20647;151179
8.0;62.2;52.3;20649;151182
19.9;64.2;52.6;20650;151183
2.0;42.3;52.7;20650;151183
0.0;42.2;52.8;20650;151183
6.0;51.5;52.8;20651;151188
0.0;19.0;52.8;20651;151188
0.0;16.0;52.8;20651;151189
0.0;9.0;52.8;20651;151189
0.0;11.4;52.8;20651;151189
2.0;24.9;52.8;20652;151193
4.0;22.3;52.8;20653;151194
10.0;25.9;52.8;20653;151194
4.0;26.8;52.8;20653;151194
2.0;30.3;52.8;20653;151194
0.0;30.2;52.8;20653;151194
2.0;18.1;52.8;20653;151194
2.0;30.2;52.8;20653;151194
0.0;21.8;52.8;20653;151194
0.0;10.6;52.8;20653;151194
0.0;22.5;52.7;20653;151194
0.0;30.8;51.1;20653;151194
2.0;17.2;51.1;20665;151195
0.0;8.1;51.1;20665;151195
0.0;5.6;51.1;20665;151195
0.0;6.1;51.1;20665;151196
0.0;6.1;51.1;20665;151196
0.0;5.1;51.1;20665;151196
0.0;5.0;51.1;20665;151196
0.0;6.1;51.1;20665;151196
0.0;6.6;51.1;20665;151196
0.0;6.5;51.1;20665;151196
0.0;5.6;51.1;20665;151196
2.0;20.7;51.1;20665;151196
0.0;16.2;51.1;20665;151196
0.0;21.2;51.1;20665;151196
2.0;50.7;50.8;20665;151196
2.0;23.3;50.8;20665;151196
0.0;8.4;50.8;20665;151196
0.0;6.5;50.8;20665;151196
0.0;16.6;50.8;20665;151196
0.0;29.6;50.8;20665;151196
0.0;11.6;50.8;20665;151196
0.0;7.0;50.8;20665;151196
0.0;5.1;50.8;20665;151196
0.0;18.5;50.8;20665;151196
4.0;27.7;50.8;20665;151196
0.0;23.2;50.8;20665;151196
0.0;10.1;50.8;20665;151196
0.0;12.3;50.8;20665;151196
0.0;10.8;50.8;20665;151196
0.0;10.1;50.8;20665;151196
0.0;27.2;50.5;20665;151196
4.0;27.9;50.5;20665;151196
0.0;44.3;50.5;20665;151196
0.0;22.7;50.5;20665;151196
0.0;11.9;50.4;20665;151196
0.0;7.5;50.4;20665;151196
0.0;10.0;50.4;20665;151196
0.0;15.0;50.4;20665;151196
0.0;7.5;50.4;20665;151196
0.0;7.7;50.4;20665;151196
2.0;7.6;50.4;20665;151196
0.0;15.9;50.4;20665;151196
0.0;8.0;50.4;20665;151196
0.0;6.6;50.4;20665;151196
0.0;6.6;50.4;20665;151196
0.0;8.0;50.4;20665;151196
0.0;7.1;50.4;20665;151196
0.0;7.5;50.4;20665;151196
0.0;7.5;50.4;20665;151196
0.0;8.0;50.4;20665;151196
0.0;7.1;50.4;20665;151196
0.0;9.4;50.4;20665;151196
0.0;8.0;50.4;20665;151196
2.0;28.4;50.4;20666;151197
0.0;12.4;50.4;20666;151197
0.0;9.4;50.4;20666;151197
0.0;8.9;50.4;20666;151197
0.0;8.0;50.4;20666;151197
0.0;6.1;50.4;20666;151197
0.0;8.9;50.4;20666;151197
0.0;6.5;50.4;20666;151197
0.0;13.6;50.4;20666;151197
0.0;8.0;50.4;20666;151198
0.0;7.6;50.4;20666;151198
0.0;6.6;50.4;20666;151198
0.0;7.5;50.4;20667;151198
0.0;6.1;50.4;20667;151198
0.0;7.6;50.4;20667;151198
0.0;6.6;50.4;20667;151198
0.0;7.6;50.4;20667;151198
0.0;5.1;50.4;20667;151198
0.0;7.6;50.4;20667;151198
0.0;6.1;50.4;20667;151198
